CALENDAR_CD,OFF_DATE
50SPC,2016-01-01
50SPC,2016-01-03
50SPC,2016-01-10
50SPC,2016-01-17
50SPC,2016-01-24
50SPC,2016-01-31
50SPC,2016-02-06
50SPC,2016-02-07
50SPC,2016-02-08
50SPC,2016-02-09
50SPC,2016-02-10
50SPC,2016-02-11
50SPC,2016-02-12
50SPC,2016-02-13
50SPC,2016-02-14
50SPC,2016-02-21
50SPC,2016-02-28
50SPC,2016-03-06
50SPC,2016-03-13
50SPC,2016-03-20
50SPC,2016-03-27
50SPC,2016-04-03
50SPC,2016-04-10
50SPC,2016-04-16
50SPC,2016-04-17
50SPC,2016-04-24
50SPC,2016-04-30
50SPC,2016-05-01
50SPC,2016-05-02
50SPC,2016-05-08
50SPC,2016-05-15
50SPC,2016-05-22
50SPC,2016-05-29
50SPC,2016-06-05
50SPC,2016-06-12
50SPC,2016-06-19
50SPC,2016-06-26
50SPC,2016-07-03
50SPC,2016-07-10
50SPC,2016-07-17
50SPC,2016-07-24
50SPC,2016-07-31
50SPC,2016-08-07
50SPC,2016-08-14
50SPC,2016-08-21
50SPC,2016-08-28
50SPC,2016-09-02
50SPC,2016-09-04
50SPC,2016-09-11
50SPC,2016-09-18
50SPC,2016-09-25
50SPC,2016-10-02
50SPC,2016-10-09
50SPC,2016-10-16
50SPC,2016-10-23
50SPC,2016-10-30
50SPC,2016-11-06
50SPC,2016-11-13
50SPC,2016-11-20
50SPC,2016-11-27
50SPC,2016-12-04
50SPC,2016-12-11
50SPC,2016-12-18
50SPC,2016-12-25
50SPC,2017-01-01
50SPC,2017-01-02
50SPC,2017-01-08
50SPC,2017-01-15
50SPC,2017-01-22
50SPC,2017-01-26
50SPC,2017-01-27
50SPC,2017-01-28
50SPC,2017-01-29
50SPC,2017-01-30
50SPC,2017-01-31
50SPC,2017-02-01
50SPC,2017-02-02
50SPC,2017-02-05
50SPC,2017-02-12
50SPC,2017-02-19
50SPC,2017-02-26
50SPC,2017-03-05
50SPC,2017-03-12
50SPC,2017-03-19
50SPC,2017-03-26
50SPC,2017-04-02
50SPC,2017-04-06
50SPC,2017-04-09
50SPC,2017-04-16
50SPC,2017-04-23
50SPC,2017-04-30
50SPC,2017-05-01
50SPC,2017-05-02
50SPC,2017-05-07
50SPC,2017-05-14
50SPC,2017-05-21
50SPC,2017-05-28
50SPC,2017-06-04
50SPC,2017-06-11
50SPC,2017-06-18
50SPC,2017-06-25
50SPC,2017-07-02
50SPC,2017-07-09
50SPC,2017-07-16
50SPC,2017-07-23
50SPC,2017-07-30
50SPC,2017-08-06
50SPC,2017-08-13
50SPC,2017-08-20
50SPC,2017-08-27
50SPC,2017-09-02
50SPC,2017-09-03
50SPC,2017-09-10
50SPC,2017-09-17
50SPC,2017-09-24
50SPC,2017-10-01
50SPC,2017-10-08
50SPC,2017-10-15
50SPC,2017-10-21
50SPC,2017-10-22
50SPC,2017-10-29
50SPC,2017-11-05
50SPC,2017-11-12
